year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
2007,60000,70000,4,1,1,0,11,4
2007,135000,50000,4,1,1,0,11,1171
2012,600000,100000,1,1,1,0,9,1110
2017,250000,46000,4,1,1,0,4,821
2014,450000,141000,1,1,1,2,8,81
2007,140000,125000,4,1,1,0,11,53
2016,550000,25000,4,1,1,0,9,1209
2014,240000,60000,4,1,1,2,18,586
2015,850000,25000,4,1,1,0,9,281
2017,365000,78000,0,1,1,0,11,175
2015,260000,35000,4,1,1,0,3,856
2014,250000,100000,4,1,1,0,18,586
2007,60000,70000,4,1,1,0,11,4
2007,135000,50000,4,1,1,0,11,1171
2012,600000,100000,1,1,1,0,9,1110
2017,250000,46000,4,1,1,0,4,821
2014,450000,141000,1,1,1,2,8,81
2007,140000,125000,4,1,1,0,11,53
2016,550000,25000,4,1,1,0,9,1209
2014,240000,60000,4,1,1,2,18,586
2015,850000,25000,4,1,1,0,9,281
2017,365000,78000,0,1,1,0,11,175
2015,260000,35000,4,1,1,0,3,856
2014,250000,100000,4,1,1,0,18,586
2015,585000,24000,4,0,1,0,11,202
2013,390000,33000,1,1,1,2,3,371
2018,975000,4500,1,0,0,0,11,1148
2018,930000,14500,4,0,1,0,8,224
2018,525000,15000,4,1,1,0,18,1071
2011,450000,130400,1,0,0,2,17,955
2016,900000,50000,4,1,0,0,19,262
2010,850000,119000,4,0,0,0,12,299
2014,229999,60000,4,1,1,1,9,1264
2012,625000,40000,1,1,1,0,9,348
2014,1050000,50000,1,1,1,0,10,898
2014,560000,74000,1,1,1,2,8,230
2014,290000,64000,4,1,1,2,11,1178
2012,275000,60000,4,1,1,2,11,1177
2009,411000,120000,1,1,1,2,10,909
2009,150000,79000,4,1,1,4,9,882
2019,500000,15000,4,1,1,0,9,502
2006,100000,80000,4,1,1,0,11,55
2017,725000,18500,1,0,1,0,11,980
2018,401000,10200,4,0,1,0,11,342
2018,750000,29000,1,0,1,0,9,1313
2018,310000,28000,4,0,1,0,11,759
2016,665000,46000,1,0,1,0,11,1017
2014,465000,70000,1,0,1,0,9,1290
2012,160000,60000,4,1,1,2,11,55
2014,675000,90000,1,0,1,0,8,231
2013,300000,80000,4,0,1,0,11,1177
2005,70000,80000,1,1,1,0,18,548
2014,240000,73300,4,0,1,2,9,312
2014,525000,92000,1,0,1,0,19,399
2009,151000,66764,4,0,1,2,11,55
2009,140000,100000,4,1,1,0,11,55
2017,570000,60000,1,1,1,0,10,900
2018,300000,31000,4,1,1,0,9,312
2007,100000,39000,1,1,1,0,18,581
2009,500000,120000,1,1,1,4,19,611
2014,125000,166000,1,1,1,1,18,565
2006,130000,110000,4,1,1,4,11,963
2017,925000,35000,1,1,1,0,7,316
2018,750000,60000,1,1,1,0,11,189
2007,200000,54000,4,1,0,2,8,250
2010,248000,63000,4,1,1,2,9,1270
2014,450000,120000,1,1,1,2,17,806
2005,80000,120000,4,1,1,4,9,494
2014,650000,76000,4,1,1,2,14,1042
2015,450000,80000,1,1,1,0,9,517
2019,650000,25000,1,1,1,0,9,354
2016,495000,11958,4,0,1,0,8,72
2015,371000,20000,4,0,1,0,8,164
2017,1025000,9000,4,0,1,0,9,280
2015,750000,70000,1,1,1,0,10,1200
2013,600000,120000,1,1,1,0,16,292
2007,80000,58000,4,0,1,2,9,893
2013,325000,62200,1,0,1,0,10,136
2015,350000,53000,1,1,1,2,5,104
2017,210000,15000,4,0,1,2,4,816
2013,450000,50000,4,1,1,0,20,636
2013,1150000,53000,1,0,0,0,1,16
2009,210000,63500,4,0,0,0,8,250
2008,175000,29173,4,0,1,0,11,850
2017,628000,120000,1,1,1,0,10,148
2010,600000,100000,1,1,1,0,9,933
2017,399000,30000,4,1,1,0,14,703
2018,750000,87000,1,1,1,0,10,1220
2019,750000,15000,4,1,1,0,9,361
2017,315000,16000,4,1,1,0,16,665
2012,600000,60000,1,1,1,0,10,1225
2010,100000,60000,4,1,1,1,11,1171
2011,250000,110000,4,1,1,4,11,849
2017,350000,25000,4,1,1,0,16,665
2016,780000,60000,1,1,1,0,9,268
2014,434000,79350,1,1,1,2,11,979
2016,690000,80000,4,1,0,0,9,1116
2014,555000,90000,1,1,1,2,10,910
2007,120000,90000,4,1,1,2,11,844
2014,500000,120000,1,1,1,2,11,380
2013,165000,60000,1,1,1,2,3,126
2004,95000,50000,4,1,1,0,11,1245
2018,550000,20000,4,1,1,0,11,115
2007,100000,110000,1,1,1,1,11,1013
2012,100000,50000,4,1,1,2,18,723
2012,500000,100000,1,1,1,0,19,606
2016,800000,70000,1,1,1,2,11,377
2016,840000,70000,1,1,1,2,9,273
2016,490000,50000,4,1,1,0,8,73
2010,125000,81000,1,1,1,2,18,558
2012,400000,120000,1,1,1,4,3,1033
2015,1000000,3600,1,0,1,0,3,284
2015,530000,14272,4,0,1,0,7,445
2017,840000,49213,1,0,1,0,7,317
2015,229999,40000,4,1,1,0,9,1269
2012,130000,80000,4,1,1,0,3,936
2015,200000,70000,4,1,1,0,9,306
2011,120000,70000,1,1,1,0,18,559
2016,250000,120000,1,1,1,0,18,155
2005,100000,30000,4,1,1,0,11,6
2013,280000,3240,4,1,1,2,9,306
2015,540000,5000,4,1,1,0,9,1307
2018,700000,10000,4,1,1,0,9,1273
2015,525000,100000,1,1,1,0,11,199
2016,430000,80000,1,1,1,0,9,1302
2018,800000,35000,1,1,1,0,11,1144
2007,75000,114000,4,1,1,2,9,892
2008,210000,53772,4,1,1,0,9,489
2012,195000,140000,1,1,1,2,10,800
2015,400000,120000,1,1,1,0,3,1037
2012,170000,60000,4,1,1,0,9,312
2016,225000,25000,4,1,1,0,16,665
2014,210000,90000,3,1,1,0,11,1158
2020,240000,120000,4,1,1,0,11,1164
2011,99000,100000,4,1,1,4,3,936
2014,620000,36000,4,1,1,0,8,235
2013,500000,30000,1,1,1,0,8,81
2013,260000,70000,4,1,1,2,8,162
2017,550000,60000,4,1,1,0,11,1005
2011,150000,155500,1,1,1,0,18,574
2011,350000,50000,4,1,0,2,9,1257
2016,320000,40000,4,1,1,0,3,132
2015,400000,100000,1,1,1,4,11,1001
2012,175000,80000,4,1,1,4,11,55
2011,120000,90000,4,1,1,2,3,132
2013,320000,90000,1,1,1,2,16,287
2006,70000,110000,4,1,1,4,9,885
2019,810000,15000,4,1,1,0,11,989
2007,95000,100000,4,1,1,2,11,4
2020,282000,40000,0,1,1,0,11,45
2004,80000,60000,4,1,1,2,11,11
2013,72000,25000,4,1,1,0,18,720
2016,600000,25000,4,1,1,0,9,1307
2015,640000,23000,4,1,1,0,17,810
2018,380000,22155,4,1,1,0,11,47
2018,650000,70000,4,1,1,0,11,192
2009,150000,60000,4,1,1,2,11,52
2009,280000,110000,4,1,1,2,9,1298
2018,430000,30000,4,1,1,0,18,742
2019,800000,15000,1,1,1,0,10,148
2016,650000,70000,1,1,0,0,20,1084
2017,390000,24000,4,1,1,0,11,344
2005,100000,120000,4,1,1,2,8,211
2007,175000,78380,4,1,1,0,11,851
2012,434999,110000,1,1,1,2,16,287
2010,170000,90000,1,1,1,4,7,457
2011,190000,90000,1,1,1,4,7,457
2009,250000,150000,1,1,1,4,11,981
2006,140000,70000,4,1,1,4,11,393
2017,600000,80362,1,1,1,0,11,1001
2012,280000,110000,4,1,1,4,9,1279
